kind,stage,severity,seed,condition,accuracy,n
ablation,V1,0.16,3,canonical,0.871429,70
ablation,V1,0.16,3,fragmented,0.414286,70
ablation,V1,0.16,3,low_contrast,0.528571,70
ablation,V1,0.16,3,noise,0.842857,70
ablation,V1,0.16,3,crowded,0.471429,70
ablation,V1,0.16,3,rotated,0.671429,70
ablation,V1,0.16,3,sheared,0.671429,70
ablation,V2,0.16,3,canonical,0.985714,70
ablation,V2,0.16,3,fragmented,0.514286,70
ablation,V2,0.16,3,low_contrast,0.914286,70
ablation,V2,0.16,3,noise,0.757143,70
ablation,V2,0.16,3,crowded,0.471429,70
ablation,V2,0.16,3,rotated,0.842857,70
ablation,V2,0.16,3,sheared,0.757143,70
ablation,V4,0.16,3,canonical,0.771429,70
ablation,V4,0.16,3,fragmented,0.285714,70
ablation,V4,0.16,3,low_contrast,0.828571,70
ablation,V4,0.16,3,noise,0.771429,70
ablation,V4,0.16,3,crowded,0.314286,70
ablation,V4,0.16,3,rotated,0.500000,70
ablation,V4,0.16,3,sheared,0.457143,70
ablation,IT,0.16,3,canonical,1.000000,70
ablation,IT,0.16,3,fragmented,0.557143,70
ablation,IT,0.16,3,low_contrast,1.000000,70
ablation,IT,0.16,3,noise,0.942857,70
ablation,IT,0.16,3,crowded,0.685714,70
ablation,IT,0.16,3,rotated,0.857143,70
ablation,IT,0.16,3,sheared,0.971429,70
ablation,V1,0.16,4,canonical,0.685714,70
ablation,V1,0.16,4,fragmented,0.314286,70
ablation,V1,0.16,4,low_contrast,0.471429,70
ablation,V1,0.16,4,noise,0.600000,70
ablation,V1,0.16,4,crowded,0.214286,70
ablation,V1,0.16,4,rotated,0.357143,70
ablation,V1,0.16,4,sheared,0.471429,70
ablation,V2,0.16,4,canonical,0.942857,70
ablation,V2,0.16,4,fragmented,0.557143,70
ablation,V2,0.16,4,low_contrast,0.728571,70
ablation,V2,0.16,4,noise,0.714286,70
ablation,V2,0.16,4,crowded,0.514286,70
ablation,V2,0.16,4,rotated,0.885714,70
ablation,V2,0.16,4,sheared,0.800000,70
ablation,V4,0.16,4,canonical,0.900000,70
ablation,V4,0.16,4,fragmented,0.471429,70
ablation,V4,0.16,4,low_contrast,0.757143,70
ablation,V4,0.16,4,noise,0.742857,70
ablation,V4,0.16,4,crowded,0.328571,70
ablation,V4,0.16,4,rotated,0.785714,70
ablation,V4,0.16,4,sheared,0.671429,70
ablation,IT,0.16,4,canonical,0.971429,70
ablation,IT,0.16,4,fragmented,0.542857,70
ablation,IT,0.16,4,low_contrast,0.885714,70
ablation,IT,0.16,4,noise,0.957143,70
ablation,IT,0.16,4,crowded,0.542857,70
ablation,IT,0.16,4,rotated,0.885714,70
ablation,IT,0.16,4,sheared,0.928571,70
ablation,V1,0.16,5,canonical,0.700000,70
ablation,V1,0.16,5,fragmented,0.285714,70
ablation,V1,0.16,5,low_contrast,0.328571,70
ablation,V1,0.16,5,noise,0.928571,70
ablation,V1,0.16,5,crowded,0.342857,70
ablation,V1,0.16,5,rotated,0.485714,70
ablation,V1,0.16,5,sheared,0.628571,70
ablation,V2,0.16,5,canonical,0.928571,70
ablation,V2,0.16,5,fragmented,0.528571,70
ablation,V2,0.16,5,low_contrast,0.585714,70
ablation,V2,0.16,5,noise,0.857143,70
ablation,V2,0.16,5,crowded,0.571429,70
ablation,V2,0.16,5,rotated,0.757143,70
ablation,V2,0.16,5,sheared,0.785714,70
ablation,V4,0.16,5,canonical,0.885714,70
ablation,V4,0.16,5,fragmented,0.400000,70
ablation,V4,0.16,5,low_contrast,0.842857,70
ablation,V4,0.16,5,noise,0.642857,70
ablation,V4,0.16,5,crowded,0.500000,70
ablation,V4,0.16,5,rotated,0.714286,70
ablation,V4,0.16,5,sheared,0.671429,70
ablation,IT,0.16,5,canonical,0.914286,70
ablation,IT,0.16,5,fragmented,0.628571,70
ablation,IT,0.16,5,low_contrast,0.900000,70
ablation,IT,0.16,5,noise,0.985714,70
ablation,IT,0.16,5,crowded,0.485714,70
ablation,IT,0.16,5,rotated,0.914286,70
ablation,IT,0.16,5,sheared,0.857143,70
ablation,V1,0.26,0,canonical,0.785714,70
ablation,V1,0.26,0,fragmented,0.242857,70
ablation,V1,0.26,0,low_contrast,0.371429,70
ablation,V1,0.26,0,noise,0.471429,70
ablation,V1,0.26,0,crowded,0.285714,70
ablation,V1,0.26,0,rotated,0.600000,70
ablation,V1,0.26,0,sheared,0.471429,70
ablation,V2,0.26,0,canonical,0.957143,70
ablation,V2,0.26,0,fragmented,0.357143,70
ablation,V2,0.26,0,low_contrast,0.785714,70
ablation,V2,0.26,0,noise,0.585714,70
ablation,V2,0.26,0,crowded,0.271429,70
ablation,V2,0.26,0,rotated,0.585714,70
ablation,V2,0.26,0,sheared,0.542857,70
ablation,V4,0.26,0,canonical,0.671429,70
ablation,V4,0.26,0,fragmented,0.271429,70
ablation,V4,0.26,0,low_contrast,0.700000,70
ablation,V4,0.26,0,noise,0.485714,70
ablation,V4,0.26,0,crowded,0.400000,70
ablation,V4,0.26,0,rotated,0.485714,70
ablation,V4,0.26,0,sheared,0.714286,70
ablation,IT,0.26,0,canonical,0.871429,70
ablation,IT,0.26,0,fragmented,0.428571,70
ablation,IT,0.26,0,low_contrast,0.871429,70
ablation,IT,0.26,0,noise,0.842857,70
ablation,IT,0.26,0,crowded,0.414286,70
